Date,Open,High,Low,Close,Adj Close,Volume,3days_before_change
2019-04-11,36.750000,39.610001,36.000000,38.250000,38.250000,9287900,1.0052562682064723
2019-04-12,39.119999,40.880001,37.398998,39.500000,39.500000,1504700,0.9875
2019-04-15,38.500000,39.860001,36.250000,39.169998,39.169998,961200,1.0005107534860407
2019-04-16,39.639999,39.700001,37.900002,38.049999,38.049999,727600,0.9659812126423257
2019-04-17,38.209999,41.950001,37.500000,40.000000,40.000000,1143200,1.0030090019305666
2019-04-18,40.439999,40.439999,38.110001,39.150002,39.150002,600800,0.9738806225402831
2019-04-22,39.150002,39.599998,38.139999,39.389999,39.389999,330400,0.9972151645569621
2019-04-23,39.400002,39.900002,39.000000,39.880001,39.880001,289200,0.9231481499271261
2019-04-24,40.180000,40.200001,39.349998,40.200001,40.200001,331600,0.8645161505376344
2019-04-25,40.400002,40.400002,39.000000,39.500000,39.500000,381700,0.8422174480930725
2019-04-26,39.549999,43.490002,39.549999,43.200001,43.200001,476900,0.922682635625801
2019-04-29,43.849998,46.869999,43.599998,46.500000,46.500000,688400,1.016615609242868
2019-04-30,46.049999,48.429001,44.179001,46.900002,46.900002,755000,1.0107758616044886
2019-05-01,47.150002,48.400002,46.740002,46.820000,46.820000,518700,0.9547308125054892
2019-05-02,46.290001,46.645000,44.299999,45.740002,45.740002,517000,0.9327080152384173
2019-05-03,46.119999,48.130001,46.060001,46.400002,46.400002,293300,0.9453952752487663
2019-05-06,44.799999,49.770000,44.799999,49.040001,49.040001,546400,0.9961405850091407
2019-05-07,49.000000,50.470001,48.080002,49.040001,49.040001,491800,0.9463527788498648
2019-05-08,49.490002,50.421001,49.080002,49.080002,49.080002,270600,0.9925177150148086
2019-05-09,48.959999,49.811001,47.500000,49.230000,49.230000,189600,0.9361095265259554
2019-05-10,49.450001,52.130001,48.180000,51.820000,51.820000,378800,0.9695041914031022
2019-05-13,50.980000,51.549999,48.119999,49.450001,49.450001,542900,0.8887491353118104
2019-05-14,50.310001,54.570000,50.009998,52.590000,52.590000,437900,0.9616017729310985
2019-05-15,52.275002,53.980000,51.650002,53.450001,53.450001,263700,0.9707591723436402
2019-05-16,53.680000,58.959999,53.500000,55.639999,55.639999,641700,1.0140331695650295
2019-05-17,55.000000,56.630001,53.750000,54.689999,54.689999,298900,1.0129653079101573
2019-05-20,54.509998,58.630001,53.831001,55.060001,55.060001,428100,1.059253578299346
2019-05-21,55.790001,56.985001,53.900002,54.869999,54.869999,339700,1.031197143980401
2019-05-22,54.669998,55.222000,53.865002,53.990002,53.990002,137500,1.0287729039634146
2019-05-23,53.497002,54.110001,50.620998,51.980000,51.980000,339400,1.0015413872238386
2019-05-24,52.470001,53.900002,52.169998,53.209999,53.209999,131800,1.0270217713371594
2019-05-28,53.209999,54.000000,52.279999,52.480000,52.480000,122400,1.0210116334236718
2019-05-29,51.770000,52.000000,49.500000,51.900002,51.900002,282100,1.123133588468591
2019-05-30,52.080002,53.990002,51.490002,51.810001,51.810001,187700,1.1600985445588894
2019-05-31,51.220001,51.919998,49.990002,51.400002,51.400002,234400,1.0802858310094228
2019-06-03,51.040001,51.349998,45.150002,46.209999,46.209999,698600,0.9716147608996056
2019-06-04,47.459999,48.020000,43.770000,44.660000,44.660000,861000,0.91329239618436
2019-06-05,45.546001,48.880001,44.709999,47.580002,47.580002,582600,0.9544634685842917
2019-06-06,47.070000,48.180000,44.549999,47.560001,47.560001,1017700,0.9466560331745211
2019-06-07,50.000000,55.290001,46.000000,48.900002,48.900002,2195000,0.8841077764580044
2019-06-10,51.169998,52.950001,49.009998,49.849998,49.849998,714100,0.9214417715874962
2019-06-11,50.299999,50.660000,49.009998,50.240002,50.240002,365800,0.875719067033625
2019-06-12,50.000000,55.669998,50.000000,55.310001,55.310001,661500,1.0007237380133887
2019-06-13,56.110001,56.669998,53.430000,54.099998,54.099998,461600,0.9935720295028093
2019-06-14,54.459999,57.369999,53.180000,57.369999,57.369999,414300,1.055371558951958
2019-06-17,58.099998,59.820000,54.020000,55.270000,55.270000,568400,1.027514388780175
2019-06-18,55.590000,57.270000,54.020000,54.450001,54.450001,405200,1.0194720277101668
2019-06-19,54.410000,54.867001,52.541000,54.360001,54.360001,409200,1.1030844582606425
